,Sysnet
7,"( krivičan prava ) pravnosnažan , osuđujući presuda u krivičan postupak sa dosuđen kazna "
8,sastavljati od komponenta ili delovati . 
9,onaj koji jesam običan ; jesam konevencionalan ili konformist . 
10,koji nemati neki izrazit kvalitet ili karakteristika . 
11,odbojnost doživiti kao odsustvo druželjubivost . 
12,"koji nemati potreban sposobnost , veština ili znanje . "
13,duboko dirnuti . 
14,odbiti s gnušanje 
15,nepravedan postupanje prema neki osoba ili grupa na osnova predrasuda . 
16,Pokušaj da se za sebe dobiti ličan priznanje ( posebno neprihvatljiv sredstvo ) . 
17,izuzetno uvredljiv za moral ; koji izazivati užas 
18,koji nedostajati dobar raspoloženje 
19,izuzetno loš ili nezadovoljavajući 
20,"umanjiti po vrednost , karakter itd . "
21,radnja mesara 
22,koji nemati osećanje sažaljenje i toplina 
23,stanje zatočenosti ( obično za kratak vreme ) 
24,proces promena u nizak stanje . 
25,osećanje misaon tuga 
26,Osećanje pomanjkanje briga . 
27,"Nemogućnost da se odmoriti , opustiti ili biti miran . "
28,okrutan poslodavac koji od zaposlen tražiti da prekomeran raditi . 
29,Započeti ili voditi rat . 
30,neki ko proizvoditi nešto . 
31,okoristiti se kakav mogućnost bez obzir na posledica za drugi 
32,"koji jesam normalan , tipičan , uobičajen , regularan ili jesam u saglasnost sa norma . "
33,osobina onaj što ne zasluživati poverenje . 
34,osećati fizički bol 
35,onaj koji nemati ili ne pokazivati sažaljenje ili saosećanje . 
36,intenzivan ojađenost 
37,koji jesam otrovati ili proizvoditi otrov . 
38,koji ispoljavati žalost 
39,Čin koji se sloboda neki osoba ograničiti tako što se ona zatočiti 
40,nedostatak briga za dobrobit drugi 
41,koji jesam klonuo duh 
42,bez nada ili skoro bez nada 
43,Osećati tuga . 
44,"koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . "
45,osećanje zaplašenost 
46,koji jesam savršen ; defektan ili neadekvatan . 
47,onaj što jesam u suprotnost sa princip pravda ili zakon 
48,Čin oštećivanje nešto ili neki . 
49,patiti od nešto ; bolovati od nešto . 
50,biti podvrgnuti ( emocionalan bol ) . 
51,koji nedostajati ljubaznost . 
52,"koji karakeriše ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . "
53,ubijanje životinja ( za hrana ) 
54,stanje bol ili patnja zbog loš zdravlje 
55,odbaciti ( dokument ) kao nevažeci 
56,stanje sumoran žalost 
57,promena u nizak stanje ( manje poštovati ) 
58,biti odbojan ; izazivati averzija 
59,koji drugi žeti zlo ; koji nastajati iz velik zloba ili mržnja . 
60,koji jesam zadovoljan ; koji doživljavati ili ispoljavati nezadovoljstvo 
61,( poetski ) muka 
62,kvalitet onaj što ne moći da postojati ili raditi u usklađen kombinacija . 
63,koji izazivati osećanje užas 
64,obestan i uzbudljiv poduhvat ( ne nužno zakonit ) 
65,stanje biti nezaposlen ili nemati posati . 
66,"biti uplašiti , plašiti se "
67,stanje u koji se malo novac i materijalan dobro . 
68,"koji ne tražiti , ne iziskivati specijalan nutricione potreba "
69,onaj što jesam ispod standard i očekivanje u pogled moral ili pristojnost 
70,onesposobiti kretanje neki tako što se smestiti unutar neki granica . 
71,"onaj koji proživljavati tuga , žalost ili nezadovoljtvo ili označiti ona ili ona izazivati . "
72,usmrtiti namerno i sa predumišljaj . 
73,koji jesam spojiti ili vezati . 
74,poduhvat koji se preduzimati bez obzir na moguć gubitak ili povreda 
75,onaj koji jesam stalan ili postojan 
76,koji jesam raspoložiti da sarađivati 
77,taj neprekidan nerazumljiv zvuk ; obično ga pratiti kretanje usna koji ne proivodi artikulisan govor . 
78,koji osećati nadolazeći opasnost 
79,smanjenje u veličina organ usled bolest ili nekorišćenja . 
80,kvalitet koji ne pružati zadovoljstvo čulo . 
81,odvratno prljav ; prekriti ili zamazati kakav odvratan tvar 
82,koji jesam nesposoban da se jesam snaći 
83,ne pridržavanje moralan princip . 
84,okrutan čin ; namerno izazivanje bol ili patnja . 
85,koji odrati ( po pitanje cena ) ; za šta nerazuman cena tražiti 
86,griža savest kada se neki osećati kriv za prekršaj 
87,nesposoban da delovati : bez pomoć 
88,stanje koji karakterisati osećanje u raspon od blag nezadovoljstvo do dubok bol . 
89,koji jesam intelektualan . 
90,bolest krv ili narušavanje funkcionisanje krvni ćelija . 
91,koji ne pripadati snaga sopstven zemlja ili snaga saveznik 
92,osećanje uporan tuga 
93,koji jesam nezavisan . 
94,kvalitet neki ili nešto što imati slab ili manje poželjan pozicija . 
95,"osobina varijabilnost , izmenljivost ili nestajanje u vreme "
96,bolest koji karakterisati neki zapaljenski proces 
97,koji jesam moralno odbojan ili neugodan za čulo . 
98,na prljav i nečist način 
99,ratobornost izazvati stvaran ili pretpostavljen nepravda ( predstaviti kao jedan od smrtan greh ) 
100,Prošireno značenje ; posebno se odnositi na psihološki hladnoća ; bez ljudski toplina i emocija . 
101,"biti kakav oštetočina na telo izazvan nasilje , nezgoda ili prelom . "
102,koji osećati ili ispoljavati bol ili žalost zbog greh ili uvreda 
103,pojava promeniti nagore . 
104,koji na sebe imati prljavština ili nečistoća . 
105,Nešto što neki zadržavati . 
106,proglasiti kriv ( utvrditi krivica ) 
107,snažan osećanje nedopadanje 
108,koji osećati ili ispoljavati žalost i tuga 
109,objaviti sudski presuda ( neki ) 
110,koji jesam u dobar zdravlje telo ili duh . 
111,nanošenje telesni povreda lice koji jesam osuditi za izvršen zločin 
112,koji ne pokazivati dovoljno pijetet prema bog . 
113,staviti na kocka u nada za povoljan ishod . 
114,škrtost koji proizilaziti iz briga za sopstven dobrobit i nepoštovanje drugi 
115,u koji nem život . 
116,biti zabrinuti i prestrašiti zbog nešto 
117,pod uticaj patnja i tuga ili ispuniti ovaj osećanje 
118,bojažljiv očekivanje ili predviđanje 
119,okrutno ili nehuman postupanje 
120,koji ispoljavati ili jesam označen tuga i bol 
121,Osećaj koji se doživljavati u očekivanje neki određenog bol ili opsasnosti i obično ga pratiti želja da se pobeći . 
122,Osećanja koji se javljati kada osoba jesam u srećan stanje . 
123,velik ( glavobolja ) . 
124,velik tuga uzrokovati gubitak voljen osoba ( posebno smrt ) . 
125,protivno zakon ili zakon zabraniti 
126,odsustvo moralan ili duhovan vrednost 
127,"Završiti pre kraj , kao računarski proces , misija itd . "
128,loše mirisati 
129,"govoriti nerazgovetno , obično tih glas . "
130,koji ne postojati u stvarnost . 
131,imati neželjen ili negativan kvalitet 
132,svaki šteta proisteći iz povreda prava 
133,smatrati da jesam nešto loše ili pogrešno . 
134,zgrada u koji se vršiti likvidacija životinja radi proizvodnja meso 
135,poseban oblik sagrešenje 
136,"žalovati , tugovati , ili osećati gubitak zbog nešto što jesam učiniti ili jesam učiniti "
137,razgnevxlen nešto nepravedan ili pogrešan 
138,koji s ne pokretati . 
139,uništiti ili veoma oštetiti vatra 
140,koji nedostajati lepota ili šarm . 
141,prolivanje krv koji za posledica imati ubistvo 
142,mentalno uznemiriti zbog moguć nesreća ili opasnost ; zabrinuti 
143,"koji jesam originalan ; jesam produktivan , ne donositi ništa neobično niti sveže . "
144,stanje oštećenosti ili raspad . 
145,stanje podložnost povrediti ili ozlediti . 
146,Osećati bol . 
147,Oružani sukob protiv neprijatelj . 
148,"smear with blood , as In a hunting initiation rit , where the faca of a person is smeared with the blood of the kill "
149,"koji izazivati neprijatnost ; na primer , neprijatan istina "
150,Čin konstruisanje nešto ( kao masšinskog delo ) . 
151,povući se 
152,tuga povezati sa neki učinjen zlo ili neki razočaranje . 
153,"uzrokovati bol , unesrećiti "
154,iznenadan napad koji uključivati nameran upotreba nasilje prema civil da biti se postignuti politički ili religiozan cilj . 
155,koji jesam naklonjen prea nešto . 
156,Čin prljanje nešto . 
157,koji trpiti atrofija 
158,postati nestabilan . 
159,koji odražavati sumornost i smrknutost 
160,koji jesam moralno lož ili pogrešan . 
161,Ućiniti da se neki osetiti opušten . 
162,nesposobnost osoba da se setiti ili uraditi onaj što obično moći ; često uzrokovati emoionalnom napetost . 
163,osetljivost na povreda ili napad 
164,neprijatan ili razočaravajući iznenađenje 
165,"slabljenje ili degeneracija , posebno usled nekorišćenja . "
166,Osećati snažan antipatija i odbojnost prema neki . 
167,stanje u koji jesam neki tužan . 
168,slab sposobnost da se razumeti iskustvo ili profitirati iz on . 
169,koji slediti prihvaćen običaj i pristojnost . 
170,Čin nanošenje rana . 
171,Reći neistina ; praviti se sa cilj da se neki obamane . 
172,onaj što izazivati bol ili patnja . 
173,nedoličan ili nemoralan ponašanje 
174,"koji osećati ili ispoljavati žalost , naročito zbog nepovratan gubitak "
175,izazvati povreda ili telesni oštećenje . 
176,koji ne moći da se desiti ili ostvariti ili s koji se ne moći rukovati . 
177,ne biti podložan nešto . 
178,koji dovoditi ( pričinjavati ) fizički neudobnost . 
179,okarakterisan zloba 
180,divljački i prekomeran ubijanje mnogi ljudi 
181,intenzivan ili preterano loš ili neprijatan po kvalitet ili stepen . 
182,"nezgoda , posebno ona koji prouzrokovati povreda ili smrt . "
183,osoba koji ne prihvatati nov ideja 
184,bolan osećaj koji proizlaziti iz svest o nedovoljnost ili krivica 
185,Uništiti ili oštetiti na nasilan način . 
186,"neraspoznatljiv , nejasan obris "
187,osećanje intezivne nesreća 
188,koji ne proizvoditi nameravan efekt . 
189,stanje u koji čovek ne moći da funkcionisati normalno i bez bol . 
190,Osećanje velik žalost povezati sa gubitak ili lišavanje . 
191,"onaj što jesam lako , zahtevati velik fizički ili mentalan napor da biti se ostvariti . razumeti ili izdržati . "
192,odsustvo osećanje 
193,koji izazivati strah ili užas 
194,povrediti nečiji osećanje 
195,koji osećati ili ispoljavati kajanje zbog nedelo 
196,koji jesam kreativan . 
197,koji više nemati životan funkcija ( ili bar tako izgledati ) . 
198,koji narušavati princip dobra i zlo . 
199,"Onak koji jesam produktivan , svež , neobičan ; nešto što jesam prvi put smišljeno . "
200,"koji jesam vlik po količina , broj ili stepen . "
201,iznenadno stanje žestok emocionalan uznemirenost 
202,koji zasluživati sažaljenje ili podsticati na sažaljenje 
203,"odgovor telesni tkivo na povreda ili nadržaj ; karakterisati ga bol , otok , crvenilo i pečenje . "
204,uništenje moralan osnova za doktrina ili politika 
205,"jako osećanje , usmeren prema neki stvaran ili navodni muka . "
206,koji raskidati sa tradicija i opšti prihvaćen . 
207,"onaj koji se ne moći ukazati poverenje , u koji se ne moći pouzdati "
208,žalostan zbog gubitak ili uskraćenosti 
209,neprijateljski stav 
210,zabraniti zakon ili zvanično usvojen pravilo 
211,nejasno i neprijatan osećanje koji se imati u iščekivanje neki loš ishod 
212,koji jesam tužan ili izazivati tuga 
213,pun ili označen ozlojeđenost ili zlovolja 
214,uopšten osećanje tuga 
215,nenormalan depresija i nezadovoljstvo 
216,tuga izazvan bol i tuga 
217,Oblačiti se u crn kao znak žalost . 
218,kada nem jednakost 
219,kvalitet nešto što jesam adekvatno ili perfektno . 
220,Pričati na besposlen ili neobavezan način sa element sumnja ili bez dovoljno razlog da se doći do zaključak . 
221,tuga onaj koji jesam neki napustiti ili ostaviti 
222,podsticati neki da počiniti zločin ili neki krivičan delo 
223,učiniti da neki ili nešto ne biti osetljiv ili osetljiv 
224,koji jesam tužan ili prizivati tuga 
225,Čin prevara . 
226,Nešto što nem važnost . 
227,stanje koji još ne odgovarati zrelost . 
228,osobina onaj ko jesam prihvatiti i ne upućivati on se pohvaliti . 
229,stanje kada jesam učiniti prekršaj . 
230,"biti lažljiv , neiskren prema neki . "
231,tuga izražen plakanje 
232,lišiti sloboda ; držati u zatvor 
233,postati ljut . 
234,svojstvo onaj koji nedostajati živost 
235,veoma loš kvalitet ili u veoma loš stanje 
236,onaj koji niko ne žeti ili ne priželjkivati 
237,ne osecati se dobro ili udobno . 
238,emocionalan poremećenost ; osnovni osećanje koji ljudi pokušavati da izbegnuti . 
239,moralno iskvariti 
240,svaki odstupanje od zdrav ili normanog stanje 
241,"prolivati suza zbog tuga , bes ili bol . "
242,"odbojno , vrlo neprijateljski ponašanje "
243,manjak uljudnost ; nepokazivanje poštovanje prema drugi ; povređivanje osećanje drugi . 
244,na nizak nivo po rang ili značaj 
245,osećati pokajanje zbog nešto ( ? ) 
246,kvalitet onaj što jesam teško otkriti ili analizirati . 
247,Oštećenje normalan fiziološki funkcija koji pogađati deo ili ceo organizam . 
248,uzrok velik patnja i nesreća . 
249,kvalitet onaj ko jesam brižljiv . 
250,zlonameran zadovoljstvo 
251,koji jesam potreban . 
252,simptom neki fizički povreda ili poremećaj . 
253,Izvršenje pravda u sklad sa ustanovljen pravilo i princip . 
254,koji se protiviti pravilo ili usvojen praksa . 
255,osećanje velik utučenost i melanholija 
256,otarasiti se neki ubistvo . 
257,"koji jesam popustljiv , koji se teško upravljati . "
258,"napraviti nered , uništiti . "
259,uzrokovati strah 
260,veoma nesrećan ; ispunjen mizerija 
261,držanje do moralan princip 
262,"koji jesam okarakterisati mračan , mističan i groteska "
263,stanje stvar koji jesam skoro izvan nečiji mogućnost da jesam rešiti i zahtevati velik napor da se rešiti ili prevazići . 
264,koji jesam veseo niti izazivati veselje 
265,Osećanje averzija ili antipatija . 
266,naneti neki nepravda 
267,ubiti velik broj ljudi bez razlika . 
268,Hava Or feel a dislike Or distaste for 
269,koji jesam označen beznadežnost ili ispoljavati beznadežnost 
270,"izazvati ljutnja , bes . "
271,"koji izazivati iznenađenje , čuđenje ili zadivljenost "
272,kvalitet neki ili nešto što jesam važan ili vredan pažnja . 
273,ispoljavanje rastuženosti 
274,nezakonit ubijanje s predumišljaj jedan čovek od strana drugi . 
275,onaj koji nedostajati moć . 
276,odsustvo kvalitet koji biti činiti nešto vredan ili korisnim . 
277,koji jesam u sklad sa metoda ili princip nauka . 
278,koji nemati ili ne obavljati funkcija . 
279,organizovati akcija proizvodnja roba ili usluga za prodaja . 
280,okarakterisan neprijateljstvo ili zlovolja 
281,nepokolebljiv verovanje u nešto bez potreba za dokaz ili nalaz 
282,opovrgavanje ili povlačenje prethodan tvrdnja . 
283,čin nameran odstupanje od istina 
284,koji izazivati ili zasluživati mržnja 
285,Osećanje mržnja . 
286,Onemogućen i jesam slobodan ; ne mpože da delovati po sopstven volja . 
