ID,POS,NEG,Lemme,Definicija
ENG30-00065495-v,0.75,0.0,"biti dobro,osećati se dobro","Biti zdrav, osećati se dobro."
ENG30-05138488-n,0.625,0.0,vrednost,Pozitivan ili negativan kvalitet nečega što ga čini poželjnim ili vrednim.
ENG30-01777210-v,1.0,0.0,"dopadati se,sviđati se",Nalaziti da je nešto zabavno ili prijatno.
ENG30-04626280-n,0.625,0.0,emocionalnost,Priroda ili svojstvo onoga ko je emocionalan.
ENG30-13987423-n,1.0,0.0,sreća,"Stanje pozitivnih osećanja, od zadovoljstva do jakog ushićenja."
ENG30-00166146-a,0.875,0.0,"atraktivan,privlačan","Prijatan za oči ili dušu, posebno jer je lep ili šarmantan."
ENG30-04686003-n,0.75,0.0,"atraktivnost,privlačnost",Lepota koja je privlačna čulima.
ENG30-01133876-a,0.75,0.0,dobrodušan,"Koji ima veseo karkater, nije sklon brigama."
ENG30-10115748-n,0.625,0.0,redovni profesor,Profesor najvišeg ranga.
ENG30-07602279-n,0.625,0.0,"gorka čokolada,čokolada za kuvanje",Čista nezaslađena čokolada koja se koristi za kuvanje (za pravljenje kolača).
ENG30-01817500-a,0.625,0.0,pozitivan,"Koga karakteriše ili koji pokazuje prihvatanje, slaganje ili uverenost."
ENG30-01193886-n,0.625,0.0,oslobađajuća presuda,"presuda(odluka) da optuženi nije kriv, odluka o nepostojanju krivice,o oslobađanju od krivice"
ENG30-10280130-n,0.625,0.0,"maestro,majstor",Umetnik nenadmašnih veština.
ENG30-01372049-a,0.625,0.0,ljubazan,"Onaj ko ima nežnu, pažljivu i obzirnu prirodu; koristi se za osobe i njihovo ponašanje."
ENG30-01781478-a,0.625,0.0,pobožan,Koji izražava ili propoveda obožavanje božanstva.
ENG30-01130733-a,0.625,0.0,iskupljući,koji donosi spasenje ili iskupljenje od greha
ENG30-01778568-v,0.625,0.0,"strahopoštovati,uvažavati",gajiti osećanja dubokog poštovanja i straha pred autoritetom.
ENG30-09573405-n,0.625,0.0,Fortuna,u rimskoj mitologiji boginja sreće i sretne slučajnosti; u grčkoj mitologiji joj odgovara nTiha
ENG30-01871774-a,0.75,0.0,"lukrativan,moneymaking,remunerative",koji donosi dobar profit
ENG30-01218593-n,0.75,0.0,"divljenje,uvažavanje",blagonaklona procena
ENG30-07500159-n,0.625,0.0,odobravanje,osećanje naklonosti prema nekome ili nećemu dobrom
ENG30-07500414-n,0.75,0.125,"naklonost,naklonjenost",osećanje naklonjenosti
ENG30-07545415-n,0.75,0.0,"obzir,poštovanje",osećanje prijateljstva i uvažavanja
ENG30-00519668-a,0.625,0.0,posvećen,revnostan u posvećenosti i privrženosti
ENG30-00885695-a,0.625,0.0,oduševljen,koji oseća ili ispoljava veliko uzbuđenje ili zainteresovanost
ENG30-01775535-v,0.625,0.0,voleti,biti zaljubljen ili u ljubavi s nekim
ENG30-01828736-v,1.0,0.0,"voleti,uživati",osećati zadovoljstvo zbog nečega
ENG30-01246579-a,0.875,0.0,prijateljski,okarakterisan prijateljstvom i dobrom voljom
ENG30-07527061-n,0.875,0.0,?bonheur,francuska reč za sreću i dobro raspoloženje
ENG30-07545833-n,0.75,0.0,dobrotvornost,činjenje dobra; osećaj dobrotvornosti
ENG30-00904290-a,0.75,0.0,izvanredan,koji zaslužuje najviše poštovanje i divljenje
ENG30-00224031-a,0.75,0.0,povoljan,koji ispoljava pogodan ili povoljan uticaj
ENG30-00223802-a,0.75,0.0,dobrotvoran,koji čini ili donosi dobro
ENG30-00705336-a,0.875,0.125,"obradovan,oraspoložen",kojeg je neko uveselio
ENG30-00995775-a,0.75,0.0,"povoljan,pogodan","koji ohrabruje, odobrava ili zadovoljava"
ENG30-01373545-a,0.625,0.0,milostiv,koji ima urođenu sklonost prema dobroti
ENG30-01807882-v,0.625,0.0,"privući,dopasti se",biti privlačan kome
ENG30-07543288-n,0.625,0.0,ljubav,Jako pozitivno osećanje poštovanja i privreženosti
ENG30-07501420-n,0.875,0.125,obožavanje,osećanje duboke ljubavi i divljenja
ENG30-07529245-n,0.625,0.0,radost,veselo osećanje
ENG30-01465061-a,0.75,0.0,zaljubljiv,koji je sklon ljubavi ili ispoljavanju ljubavi
ENG30-00922344-a,0.625,0.0,uzbuđujući,prijatno i površno uzbuđujući
ENG30-01357342-a,0.625,0.0,"razveseljavajući,stimulišući",koji čini živahnim i veselim
ENG30-01372948-a,0.625,0.0,milostiv,"koji pokazuje ili je motivisan saosećanjem, razumevanjem i velikodušnošću"
ENG30-07544213-n,0.625,0.0,zaljubljenost,osećanje seksualne ljubavi
ENG30-00362467-a,0.75,0.0,uveseljavajući,koji je pun pozitivne energije i širi dobro raspoloženje
ENG30-07491981-n,0.75,0.0,"polet,oduševljenje,slast",energično i oduševljeno uživanje
ENG30-07551890-n,0.75,0.0,raspoloženost,osećati se veselo i biti ispunjen dobrim raspoloženjem
ENG30-07530478-n,0.75,0.0,veselje,osećaj spontano dobrog rapoloženja
ENG30-01463965-a,0.75,0.0,"brižan,blag,topao",koji oseća ili pokazuje ljubav i naklonost
ENG30-01367651-a,0.75,0.125,"raspoložen,vedar",koji oseća ili pokazuje dobro raspoloženje
ENG30-00362892-a,0.75,0.125,blistav,veseo i ozaren
ENG30-01361705-a,0.75,0.0,drag,koji oseća ili izražava radost i veselje
ENG30-02679012-v,0.625,0.0,"zadovoljiti,kvalifikovati se",Ispuniti očekivanja.
ENG30-00479330-a,0.625,0.0,"ugodan,spokojan",koji je oslobođen stresa ili pogoduje mentalnoj opuštenosti; koji ima ili pruža duševni mir
ENG30-07509996-n,0.75,0.0,"čuđenje,zaćuđenost",osećanje izazvano nečim čudnim i iznenađujućim
ENG30-07289588-n,0.625,0.0,čudo,nešto što izaziva osećanje čuđenja
ENG30-01676517-a,0.75,0.0,"fantastičan,veličanstven,izvanredan,sjajan,izvrstan,izuzetan,predivan,čdesan",izuzetno dobar; ove reči se koriste za naglašavanje značenja drugih reči
ENG30-01282510-a,0.875,0.125,"zapanjujući,izuzetan","koji pobuđuje poštovanje, divljenje ili čuđenje"
ENG30-01807605-a,0.875,0.0,izvrstan,koji inavodi na divljenje ili odobravanje
ENG30-00512522-n,0.625,0.0,"koketiranje,flert,kaćiperstvo",Nestašno ponašanje sa namerom da pobudi seksualno zanimanje.
ENG30-02339577-a,0.625,0.0,"visokorazinski,visokonivojski",na visokom nivou po rangu ili značaju
ENG30-04869569-n,0.875,0.125,integritet,moralna ispravnost
ENG30-04826235-n,0.75,0.125,"ispravnost,pravednost",držanje do moralnih principa
ENG30-01430111-a,0.625,0.0,logički,sposoban za korektno i validno rezonovanje
ENG30-00583239-a,0.75,0.125,"konstantan,stalan,postojan","osobina onoga koji ne odustaje od svoje ideje, osećanja ili namere"
ENG30-01865197-a,0.625,0.0,productivan,koji proizvodi ili je sposoban da proizvodi (posebno u velikim količinama)
ENG30-00883611-a,0.625,0.0,reduktibilan,koji može da se redukuje
ENG30-02496425-a,0.625,0.0,netrošiv,koji može ponovo da se koristi
ENG30-04670022-n,0.625,0.0,pouzdanost,"osobina onoga na šta se može osloniti, što je pouzdano"
ENG30-00254415-n,0.625,0.0,sanitizacija,"učiniti da nešto postane sanitarno (bez bacila), npr.sterilizacijom"
ENG30-00363031-a,0.75,0.0,"nasmejan,ozaren",na čijem se licu očitava zadovoljstvo
ENG30-02526925-a,0.625,0.0,"željen,potreban","koji se želi, traži"
ENG30-05145891-n,0.625,0.0,skupoća,kvalitet onoga što ima veliku cenu
