ID,POS,NEG,Lemme,Definicija,Vrsta
ENG30-02324026-v,0.010498421392473034,0.0036595185613954584,"pozajmiti,posuditi",Dobiti privremeno.,v
ENG30-02345647-v,0.005142731123315869,0.07431989675079542,"uzajmiti,pustiti,imati viška",Pozajmiti nešto što nije strogo potrebno.,v
ENG30-02349212-v,0.4594693726950698,0.004799166982751402,"poveriti,predati,dati",Ukazati poverenje kome.,v
ENG30-02378623-v,0.038501056766406805,0.10337308320988825,"reagirati,reagovati,opirati se,opreti se,kontrirati,oponirati,suprotstaviti se",Delovati protiv nečega.,v
ENG30-02384940-v,0.007634904943671472,0.004311111532416589,"ugostiti,pogostiti",Pozvati kao gosta.,v
ENG30-02437707-v,0.01669687122863106,0.006298706837113421,"paziti,brinuti se,voditi računa",Biti zadužen za nešto ili imati posla sa nečim.,v
ENG30-02485844-v,0.004033407671449218,0.003544277055261169,"sastati se,videti se",Ići sa nekim na sastanak.,v
ENG30-02506546-v,0.020388863904606147,0.01365343473685865,"obavezati,primorati",Prisiliti ili obavezati nekoga da uradi nešto.,v
ENG30-02570267-v,0.0615925708101317,0.3836007633493468,"razmaziti,raznežiti,povlađivati,kvariti",Ponašati se prema nekome sa preteranom popustljivošću.,v
ENG30-01752884-v,0.12221186457727651,0.013746342049581806,"omogućiti,rezultirati",Učiniti mogućim.,v
ENG30-02641035-v,0.007683226851567859,0.028482208041295642,"oklevati,zastati",Privremeno prekinuti aktivnost pre nego što se nastavi.,v
ENG30-02652494-v,0.002254418435449601,0.0024634966281604775,"boraviti,stanovati,biti stanar",Biti stanar; privremeno boraviti.,v
ENG30-02656390-v,0.010788829766203989,0.004055814586569895,"skloniti,zbrinuti,zaštiti",Obezbediti sklonište.,v
ENG30-02664575-v,0.02092020273548112,0.0024423009191130163,"biti podloga,temeljiti se",Biti ili činiti osnovu.,v
ENG30-02700104-v,0.6315677351508633,0.0028378105912700846,"složiti se,pristajati","Biti u skladu, harmoniji.",v
ENG30-02705535-v,0.020481261165531173,0.004442709238918319,"biti svojstven,biti urođen,biti sadržan",Biti deo.,v
ENG30-02758033-v,0.04202339039371328,0.003243878345945639,"pljuštati,liti,liti kao iz kabla",Obilno kišiti.,v
ENG30-02733524-n,0.001790281042155506,0.0020429004278748053,luk,Građevinska konstrukcija (obično zakrivljena) koja služi da premosti otvor (arhitektura).,n
ENG30-03462594-n,0.001975340849813101,0.0019045305318199368,podloga,Površina (kao zid ili platno) pripremljena da primi boju za sliku (umetnost).,n
ENG30-08592165-n,0.002024254032856554,0.0018953887908521594,prednost,Položaj koji trkač sa baze zauzima kada se priprema da napreduje ka sledećoj bazi (bejzbol).,n
ENG30-07293678-n,0.004690334251470141,0.00285249953562694,pobeda na poene,Pobeda dobijena na poene kada nema nokauta (boks).,n
ENG30-05034473-n,0.0023362288026600453,0.0018741437940388295,valencija,Karakteristika atoma ili radikala; njihov združena moć data u kategorijama broja atoma vodonika (ili ekvivalenta) (hemija).,n
ENG30-07977592-n,0.0020481687319406916,0.001971159530890887,"biblioteka,programska biblioteka,biblioteka programa",Zbirka standardnih programa i podrutina koje se pohranjuju i stavljaju na raspolaganje za trenutnu upotrebu (informatika).,n
ENG30-13562862-n,0.006197260329230403,0.004853384205802058,ekološko nasleđivanje,Postepen i sređen proces promene u ekosistemu koji je izazvalo progresivno zamenjivanje jedne zajednice drugom dok se ne uspostavi stabilan vrhunac (ekologija).,n
ENG30-13451804-n,0.0089804185320288,0.0025441152740866,"korišćenje,iskorišćenje","Upotreba privrednih dobara da bi se zadovoljile potrebe, ili u proizvodne svrhe (ekonomija).",n
ENG30-07420991-n,0.0018871735366587927,0.0019058148893122961,impuls,Oštar prolazan talas u normalnom električnom stanju (ili nizu takvih prolaznih) (elektronika).,n
ENG30-13597794-n,0.002073216533730715,0.0019540370465023216,osnova,U pozicionom brojnom sistemu pozitivni celi broj koji je ekvivalentan jedinici na sledećem višem rednom mestu (matematika).,n
ENG30-05057061-n,0.0029912164631422655,0.002031536978774895,odredište,Položaj na koji se po dužnosti raspoređuju brod ili flota (mornarica).,n
ENG30-01455732-a,0.05608253279931841,0.0022520879865437493,"piskav,tanak,tanušan","Za zvuk, posebno glas.",a
ENG30-07345593-n,0.002281231043628651,0.003495183942607838,"talas,vibracija",Progresivno ometanje koje se prenosi bez pomeranja samog sredstva (fizika).,n
ENG30-01221254-n,0.004649560323224833,0.0020114587454660438,ponašanje,Skup odgovora ili reakcija ili pokreta koje pravi organizam u bilo kakvoj situaciji (psihologija).,n
ENG30-01278080-a,0.4776709814591493,0.0037030418438996904,"uvažen,istaknut,velik","Za osobe, koji stoji iznad drugih po karakteru ili postignućima ili ugledu.",a
ENG30-07968702-n,0.0032380661006241596,0.002051471733596877,interesna grupa,"Obično u množini, društvena grupa čiji članovi kontrolišu neko polje rada i koji imaju zajedničke ciljeve.",n
ENG30-06630017-n,0.44398406460475126,0.0030075044889370517,pozdrav,Potvrda ili izraz dobre volje (obično pri susretu),n
ENG30-08500213-n,0.002135809148327006,0.0029232163081323037,dubina,Najdublji i najudaljeniji deo.,n
ENG30-15235126-n,0.0018327730665479436,0.0019055205354963078,"s,sek,sekunda",Šezdeseti deo minuta: osnovna jedinica vremena koju je usvojio Međunarodni sitem mernih jedinica.,n
ENG30-15205532-n,0.004360132067833256,0.005807943790588688,"vek,stoleće",Sto godina.,n
ENG30-13863186-n,0.0018870123798437888,0.002177286999899941,"lik,dvodimenzionalni oblik,figura u ravni",Dvodimenzionalni oblik.,n
ENG30-07201365-n,0.012823408843011919,0.0074715971955967575,opisivanje,Čin opisivanja nečeg.,n
ENG30-00125629-n,0.003842517945770396,0.007554978344444407,udaranje,Čin udaranja jedne stvari drugom.,n
ENG30-07940448-n,0.002678819067841509,0.0021740422323999198,carstvo,Osnovna grupa prirodnih predmeta.,n
ENG30-09622928-n,0.14556913373064617,0.0019789516646824268,"voljeni,voljena,dragan,dragana,ljubav,cakan,cakana",Voljena osoba; koristi se u izrazima od milja.,n
ENG30-05949726-n,0.09148005941241699,0.002230686930117187,"mnjenje,javno mnjenje",Verovanje ili raspoloženje zajedničko većini ljudi: glas naroda.,n
ENG30-07929519-n,0.001668475211050513,0.0018864791993165042,"kafa,kava",Napitak koji se sastoji od primese mlevenih zrna kafe.,n
ENG30-07933274-n,0.0018468213572884196,0.002018616844692289,čaj,Napitak koji se spravlja potapanjem čajnih listova u vodu.,n
ENG30-05333777-n,0.001975220127953037,0.002010923310173496,arterija,Krvni sud koji odvodi krv iz srca u telo.,n
ENG30-04244997-n,0.002105509060678301,0.0022775280655000785,"brodica,brodić",Mali čamac.,n
ENG30-03329663-n,0.002606982025885607,0.0019910723302603017,"trajekt,feribot",Brod koji prevozi ljude ili vozila preko vodene površine i radi po redovnom rasporedu.,n
ENG30-02792552-n,0.0019137595173557287,0.001982886004133988,"šlep,dereglija",Brod sa ravnim dnom za prenos teškog tereta (posebno na kanalima).,n
ENG30-05298313-n,0.03943587324912645,0.0022985287695656,vitalni organ,Organ koji je neophodan za život.,n
ENG30-08414119-n,0.042155125187645304,0.002429404305229532,porota,Telo građana zakletih da donose istinite presude u skladu sa dokazima predstavljenim na sudu.,n
ENG30-08375369-n,0.0031724759148961112,0.002618689160287957,komuna,Zajednica ljudi ili porodica koje žive zajedno i dele sve.,n
ENG30-07966719-n,0.0023921606955958907,0.00225509981493488,sektor,Zajednica ljudi koji čine deo društva ili privrede.,n
ENG30-09328904-n,0.00173033871432704,0.0019402811743871595,jezero,Vodena površina okružena zemljom.,n
ENG30-02993546-n,0.029180949218056362,0.0023271344969488794,centar,Zgrada posvećena posebnoj aktivnosti.,n
ENG30-04306080-n,0.002974358639844077,0.0024105881072360447,stanica,Zgrada snabdevena posebnom opremom i osobljem za određene namene.,n
ENG30-03054311-n,0.0018798628919753924,0.0023616472356948748,"klub,udruženje",Zgrada koju zaposeda klub.,n
ENG30-03859280-n,0.002254627421081956,0.0022915375973591168,sporedna zgrada,Zgrada koja je podređena i odvojena od glavne zgrade.,n
ENG30-03542333-n,0.00395931748046241,0.002545599614518501,hotel,Zgrada gde putnici mogu da plate smeštaj obroke i druge usluge.,n
ENG30-03457902-n,0.002137623140029632,0.002021408983878814,"staklenik,staklena bašta","Zgrada sa staklenim zidovima i krovom, za uzgoj i pokazivanje biljaka pod kontrolisanim uslovima.",n
ENG30-08057206-n,0.002292288852739688,0.002917899204302188,agencija,Firma koja služi druge firme.,n
ENG30-03594945-n,0.003281367156140469,0.0029468062850162013,"džip,lendrover,terensko vozilo,terenac",Automobil pogodan za putovanje preko teškog terena.,n
ENG30-02924554-n,0.025021676133595072,0.20191975326391276,"krš,krntija",Automobil koji je star i nepouzdan.,n
ENG30-00138221-n,0.00573289604790439,0.002984049040152925,"poljubac,celov,ljubljenje",Dodir usnama.,n
ENG30-07414922-n,0.002709488916343261,0.2724014777421413,"sastanak,susret",Slučajno ili neočekivano susretanje.,n
ENG30-08006094-n,0.0021761182249191435,0.002279964417279068,"sloj,grupa",Kategorija koja dolazi između nekih određenih granica.,n
ENG30-07305234-n,0.07075784434627774,0.5696972989017892,"nedaća,beda",Uzrok velikih patnji i nesreće.,n
ENG30-07189411-n,0.017940496516152038,0.002437939357681884,"blagoslov,blagosiljanje",Ceremonijalna molitva koja zaziva božansku zaštitu.,n
ENG30-00260622-n,0.2082136227716207,0.05352447470319266,reforma,Promena nabolje kao rezultat ispravljanja zloupotreba.,n
ENG30-07357388-n,0.4679082593156343,0.006561200900221387,"napredak,progres,unapređenje","Promena nabolje, napredak u razvoju.",n
ENG30-07358576-n,0.005332322398055034,0.0026086881550435592,"prelaz,prelazak,tranzicija",Promena sa jednog mesta ili stanja ili stepena u drugo.,n
ENG30-04981658-n,0.18995713042799167,0.0034751777607553436,prizvuk,Karakterističan zvuk.,n
ENG30-01037819-n,0.025460387648918115,0.0022057994025725947,krštenje,Hrišćanska sveta tajna koja znači ponovno duhovno rođenje.,n
ENG30-08579487-n,0.0017081897543747004,0.00190953424442597,veliki krug,Kružna linija na površini sfere koja se dobija kada se ona preseče ravninom koja prolazi kroz centar.,n
ENG30-04253437-n,0.0017654899510182176,0.002132431045416716,sapun,Sredstvo za čišćenje napravljeno od soli biljnih ili životinjskih masti.,n
ENG30-14845743-n,0.003397660967396021,0.006220924374149561,"H2O,voda",Prozirna tečnost bez mirisa i ukusa.,n
ENG30-13811410-n,0.19616857455222014,0.004270109395664967,"bliskost,srodnost",Bliska veza karakterisana zajedničkim interesom ili sličnom prirodom ili svojstvima.,n
ENG30-02536685-n,0.011994320444154383,0.002325880817460657,"brat,bata,ortak,drugar,pajtaš",Blizak prijatelj koji učestvuje sa drugarima u njihovim aktivnostima.,n
ENG30-07977870-n,0.0019283072193587714,0.002124466105314582,biblioteka,Zbirka književnih dokumenata ili zapisa koji se drže radi čitanja.,n
ENG30-07961480-n,0.0021267877254071976,0.0023286686572614457,"gomila,hrpa",Zbirka predmeta naslaganih jedan preko drugog.,n
ENG30-04338359-n,0.0019171522594509938,0.001923202130895696,"niz,niska",Zbirka predmeta naredanih na jedno vlakno.,n
ENG30-08271042-n,0.0018992244277544756,0.0020739405427523394,"galaksija,maglina",Grupa zvezdanih sistema.,n
ENG30-08407619-n,0.002058532196739904,0.00212815042183756,izložba,Grupa stvari (dobara ili umetničkih dela itd.) za javno pokazivanje.,n
ENG30-07963711-n,0.0021900066312587896,0.0021629312213695684,kombinacija,Grupa stvari koje su udružene; zbir odvojenih delova ili svojstava.,n
ENG30-08374049-n,0.002110713376088924,0.0026914563312967488,"kolonija,naseobina",Zajednica ljudi koji se nasele daleko od matice ali sa njom održavaju veze.,n
ENG30-07210801-n,0.006695603206115841,0.6786147255444108,"žalba,tužba",Pritužba na (stvarnu ili zamišljenu) nepravdu koja uzrokuje ozlojeđenost i predstavlja osnovu za delovanje.,n
ENG30-07211092-n,0.006224326254102408,0.29953206277010125,"gunđanje,roptanje,mrmljanje",Pritužba izgovorena tihim i nerazgovetnim glasom.,n
ENG30-07956426-n,0.00333265075502176,0.002966916654679963,paket,Potpuna grupa sličnih stvari.,n
ENG30-03069752-n,0.001818045289881276,0.002097099335558461,fakultet,Skup zgrada u kojim je smešten fakultet.,n
ENG30-02679415-n,0.021963202642357516,0.0021231707800986044,dodatak,Sastojak koji se dodaje nečemu da ga poboljša.,n
ENG30-05559908-n,0.0018324556913960066,0.002038196023999461,"ekstremitet,dodatak",Telesni dodatak ili deo koji liči na dodatak.,n
ENG30-04454240-n,0.0016955499669784047,0.0018843476793044545,"zvrk,čigra",Kupasta dečja igračka koja se sužava u čelični vrh na kome može da se zavrti.,n
ENG30-08377085-n,0.002590869690306974,0.0023160475744088416,"kurs,pravac",Povezani niz događaja ili radnji.,n
ENG30-13870805-n,0.005106312237581179,0.002542790971597597,"veza,link",Oblik koji spaja.,n
ENG30-03779370-n,0.0023524941665700183,0.001916963027196239,"kalup,modla,model",Posuda u koji se uliva tečnost da se stvori dati oblik kada se stvrdne.,n
ENG30-02801938-n,0.0020042403898790084,0.001930539246614238,"košara,korpa",Sud koji je obično pleten i ima ručke.,n
ENG30-07458453-n,0.0022156020974897217,0.0022756686782621216,"trka,utrka",Brzinsko takmičenje.,n
ENG30-08403787-n,0.0045532175310469825,0.0029971190698958594,opozicija,Zajednica ljudi ujedinjenih u odupiranju nečemu.,n
ENG30-15123754-n,0.0023226266378264526,0.006462616252313147,kontinuum,Neprekidna nevremena celina ili odsečak ili niz događaja u kome nijedan deo nije različiti niti se može razlikovati od susednih.,n
ENG30-03709644-n,0.001952664523567016,0.002114133506263549,poštansko vozilo,Prevozno sredstvo koje vozi poštu.,n
ENG30-03969627-n,0.0016562202045040664,0.001834676510961586,visak,Uzica o koju je obešen metalni teg koji pokazuje direktno na centar zemljine teže.,n
ENG30-00892145-n,0.002628417001585781,0.002708123312811672,seminar,Kurs koji se nudi maloj grupi naprednih studenata.,n
ENG30-03366823-n,0.0019454117350301559,0.002172401123496037,otirač,Pokrivači za pod automobila.,n
ENG30-03050026-n,0.0016825482288531646,0.0021170511881045684,pokrivač od tkanine,pokrivač napravljen od tkanine,n
ENG30-04151940-n,0.00545935707719547,0.003473375016763036,"zaklon,skrivalište,plašt,ogrtač",Pokrivač koji služi da sakrije ili zakloni.,n
ENG30-03724870-n,0.002659439922454432,0.0020099728118205817,"maska,obrazina,krabulja",Navlaka koja prerušava ili štiti lice.,n
ENG30-00770270-n,0.008827120166272628,0.7208247334770865,"prekršaj,prestup",Zločin manje ozbiljan od teškog.,n
ENG30-13872975-n,0.0016874880279278415,0.0018758834089016574,"konusni presek,kupasti presek",Kriva koju stvara presek ravni i kružne kupe.,n
ENG30-03623556-n,0.0017376720296775616,0.0019468396293556012,nož,Alat za sečenje sa oštrom zašiljenim metalnim sečivom i sa drškom.,n
ENG30-04101497-n,0.002064707928425946,0.00195771759105412,valjak,Cilindar koji se okreće.,n
ENG30-08644213-n,0.011391137136149254,0.26920319010131344,"opasnost,pogibelj,pogibao",Opasno mesto.,n
ENG30-15183428-n,0.03909165973808015,0.05246776158954347,praznik,Dan na koji se ne radi po običaju ili zakonu.,n
ENG30-07389330-n,0.0020930502846931986,0.0024613026812767558,"prasak,salva",Duboki dugi zvuk (kao grmljavine).,n
ENG30-03800563-n,0.005552432824504017,0.002327493716609119,muzej,Mesto za sakupljanje i prikazivanje predmeta koji imaju naučnu ili istorijsku ili umetničku vrednost.,n
ENG30-03320046-n,0.0017984899326908277,0.001967975740109651,fen,Naprava koja stvara strujanje vazduha pokretanjem jedne ili više površina.,n
ENG30-03666591-n,0.001773704413833066,0.001953397516669675,upaljač,Naprava za paljenje goriva ili naboja.,n
ENG30-03851341-n,0.0020252151984410105,0.0020764453906254587,optički uređaj,Uređaj za proizvodnju ili kontrolu svetlosti.,n
ENG30-03111899-n,0.005654092719312054,0.008041452457661968,sredstvo za ublažavanje bolova,Naprava za lečenje povreda ili bolesti.,n
ENG30-03277771-n,0.002605284711334477,0.0020498141255114177,elektronski uređaj,Uređaj koji ispunjava svoju ulogu na elektronski pogon.,n
ENG30-03705379-n,0.0020704528052117865,0.0019393672901895087,magnet,Uređaj koji privlači gvožđe i stvara magnetsko polje.,n
ENG30-04526964-n,0.0023997859671478494,0.0025252835467224344,ventilator,Uređaj koji ubacuje svež vazduh i izbacuje prljavi.,n
ENG30-03744840-n,0.0026267758804303654,0.0024869135814649113,"memorijski uređaj,skladišni uređaj",Uređaj koji čuva informacije radi vraćanja podataka.,n
ENG30-03269401-n,0.0022106327712050344,0.001959384292315569,električni uređaj,Uređaj koji proizvodi ili radi na struju.,n
ENG30-03736970-n,0.0020370571735091048,0.002017685663957103,"mehanička naprava,mehanički uređaj",Uređaj koji radi na mehaničkim principima.,n
ENG30-03720163-n,0.0019010844892548562,0.0020255687898682595,"mapa,karta",Shematski prikaz zemljine površine.,n
ENG30-00046344-n,0.0670355920650838,0.004096067414510074,"vratolomija,egzibicija","Teška ili neobična majstorija, obično urađena da se privuče pažnja.",n
ENG30-07307895-n,0.002161451686046867,0.004428871977947502,električno pražnjenje,Pražnjenje elektriciteta.,n
ENG30-07140978-n,0.0034508584170751533,0.0030108867316656074,"rasprava,debata,spor",Diskusija u kojoj se iznose argumenti za ili protiv nekog predloga.,n
ENG30-07148192-n,0.020112195330487914,0.003764474111425109,"pregovori,razgovori",Diskusija čija namera je da dovede do sporazuma.,n
ENG30-02025550-v,0.009536728882848955,0.0025931304932234056,"pratiti,putovati sa",Ići ili putovati sa nekim.,v
ENG30-02037090-v,0.003086747974982984,0.0025950692602307868,"nagnuti se,survati se,spustiti se",Biti pod uglom.,v
ENG30-03464467-n,0.008996775789670508,0.004231041713170569,branik,Naprava smišljena da spreči povrede.,n
ENG30-02185373-v,0.002229129127363727,0.0019751388348145937,"kucati,tapkati,lupkati,lupati,tupkati",Proizvoditi lagane ritmičke udarce po površini.,v
ENG30-00446493-n,0.00237988019561719,0.00242410684204053,"borba,bokserski meč",Boksersko nadmetanje.,n
ENG30-04749572-n,0.14372450628318756,0.015112569117927244,distinkcija,Karakteristična razlika.,n
