X,Predicted,Real
forma stih pogodan za obrada junački ili uzvišen tema ; daktilni heksametar ili jampski pentametar ,1,0
koji jesam u dobar zdravlje telo ili duh . ,1,0
mentalan sposobnost ili moć glasovni komunikacija . ,1,0
osoba koji zagovarati ekonomski teorija slobodan tržište kao glavnog regulator u ekonomija ,1,0
smanjiti ton muzički nota . ,1,0
Okončanje pomoću čin razaranje . ,1,0
deo spoljašnji uvo ,1,0
vladin bira posvetiti obavljanje neki specifičan funkcija . ,1,0
tresti se kao od hladnoća ili strah . ,1,0
čin organizovanje poslovan aktivnost ili aktivnost koji jesam s posao u veza ,1,0
"velik , manje-više primitivan glodar : veverica , mrmot , dabar , ird . ",1,0
vreme koji jesam potrebno da zemlja napraviti jedan krug oko sunce ; mera se izmeđe dva prolećni ravnodnevica ,1,0
biti podvrgnuti ( emocionalan bol ) . ,1,0
usrećiti ili zadovoljiti ,0,1
Raniji period u nečiji život ( posebno neki za koji imati razlog da kriti ) . ,1,0
učiniti da se gas ili para pretvoriti u tečnost ,1,0
spojiti sa ugalj ,1,0
procena vrednost poslovanje . ,1,0
"zamenjivanje nazivati osobina ili svojstvo za sam ime ( kao u "" oni jesam brojati glava "" ) ",1,0
Umarširati agresivno na nečiji teritorija vojni snaga da biti se ona zauzeti ili okupirati . ,1,0
koji postojati kao suštinski karakteristika ili konstituent ,1,0
beleženje čovekov ponašanje i analiziranje psihološki karakteristika da biti se predvideti ili proceniti njegov sposobnost u određenoj sfera ,1,0
neki ko služiti u oružan snaga ; član vojni snaga . ,1,0
Mašin koji obično stajati ispred banka koji korisnik koji imati odgovarajući kartica izdavati gotovina . ,1,0
žena koji održavati seksualan odnos sa muškarac iz materijalan razlog ,1,0
promeniti se iz tečan u čvrst stanje kada jesam hladno ,1,0
skup zakon koji jesam ustanoviti država ili nacija radi sopstven uprava . ,1,0
imenica koji se izvoditi iz glagol ( npr . u engleski dodavanje sufiks ' -ing ' ) ,1,0
"nastati , početi postojati ",1,0
Čin dodeljivanje . ,1,0
koji žeti da jesti i piti više nego što on jesam potrebno ,1,0
"Obično bodljikav drveće i žbunje , rađati plod koji imati medicinski vrednost . ",1,0
( klasičan mitologija ) zmija ( ili gušter ili zmaj ) sposoban da ubiti dah ili pogled ,1,0
imovina koji imati ekonomski upotrebljivost : novčan ili razmenjiv vrednost . ,1,0
zbog šteta koji jesam nanositi u poxlima već jesam istrebiti ,1,0
proces u koji se primenjivati psihoanalitički teorija . ,1,0
"osobina varijabilnost , izmenljivost ili nestajanje u vreme ",1,0
ukloniti neki jajnik ,1,0
položaj visok autoritet ,1,0
Čin kontrolisanje ili upravljanje u sklad sa pravilo . ,1,0
( Rimokatolička crkva ) čin Pap koji on proglašavati da jesam preminuli osoba živeti svet život i vredan jesam javan poštovanje ; prvi korak ka kanonizaciji ,1,0
filovirus koji izazivati Ebola hemoragični groznica ; prenositi jesam životinja ; moći da se koristiti kao biološki oružje ,1,0
vreme koji trebati da doći . ,1,0
ukloniti zemljište ili kamen ,1,0
nejasan ideja u koji se uključivati neki poverenje ,1,0
"prvi seksualan i i socijalan faza razvoj beba . usta jesam fokus libido i zadovoljstvo dolaziti iz sisanje , žvakanje i ugriz . dete usmeravati sav predmet iz okolina prema usta . osim zbog zadovoljstvo koji pružati dete , ovaj radnja bitan jesam i za upoznavanje svet oko sebe . ",1,0
čin podela na kvant ili izražavanje na način kvantni teorija ,1,0
razlika između opserviran vrednost i očekivan vrednost promenljiv ili funkcija ,1,0
sumnjati ili izražavati sumnjičav spekulacija . ,1,0
kretati se oko neki osa ili centar . ,1,0
"radioaktivan transuranski metal , proizvesti bombardovanje plutonijuma neutron ",1,0
osoba koji proizvoditi prehrambeni proizvod . ,1,0
Učiniti kratak nego što jesam biti prvobitno ; smanjiti po dužina ili trajanje . ,1,0
"verovanje , ili sistem verovanje , koji jesam prihvatiti kao merodavan od strana neki grupa ili škola . ",1,0
neki posati koji preduzeti ili se planirati . ,1,0
koji jesam kao brat ili imati osobina koji odgovarati bratski osobina ,1,0
"Nešto što držati stvar , posebno za transport ili skladištenje . ",1,0
okupiti se u velik broj . ,1,0
predati nešto neki na čuvanje . ,1,0
"u sport , čin kontrolisanje lopta ili pak . ",1,0
dovesti u drugačiji stanje . ,1,0
"titula koji se koristiti za obraćanje važan osoba , kao što jesam ambasador ili guverner , obično se koristiti uz prisvojne zamenica , npr . njegov . ",1,0
velik smeđkasta slogodnica arktički mora ,1,0
odustati ili pristati na odustajanje od vlast ili vlasništvo u korist drugi ,1,0
u star zavet izraelski sudija koji se velik snaga suprotstavljati Filistejcima ; koji jesam ga nakon izdaja njegov žena Dalila zarobiti ,1,0
koji se ticati živ organizam ili se odnositi na ona ili poticati od ona ili imati osobina i karakteristika nalik na njihov ,1,0
"of Or concerning the faca ; "" a facial massage "" ; "" facial hair "" ; "" facial expression "" ",1,0
postati opšte poznat i prenositi se dalje . ,1,0
"pretvarati iz čvrst u tečan stanje , obicno zagrevanje . ",1,0
Čin koji se sloboda neki osoba ograničiti tako što se ona zatočiti ,1,0
čin umirivanje ; ponovan zadobijanje čiji poverenje ,1,0
energija koji oslobađati nuklearni reakcija ,1,0
"obezbeđivati komentar , na primer za film ",1,0
rukovodilac koji jesam po rang odmah ispod predsednik i moći da ga zamenjivati pod odrexenim uslov . ,1,0
Apolutno važno . ,0,1
slikan struktura na scenski podloga koji imati za cilj da predstaviti odrediti lokalitet ,1,0
obezbediti pokrivač ili izazvati da biti pokriven . ,1,0
čin pisanje rečnik ,1,0
Učiniti ili prisiliti da se prihvatiti nacizam ili nacistički karakter . ,1,0
osoba koji se brina o ljudi i njihov svojina . ,1,0
smanjiti promer kanal ili prolaz . ,1,0
stanje zajednički život u pleme ,1,0
religiozan obred ili služba koji propisivati crkven vlast ,1,0
svaki odeća koji menjati izgled kako biti sakriti identitet nosilac ,1,0
uzeti ili uhvatiti nešto sila . ,1,0
slaganje u lice između zamenica i glagol ,1,0
biti ili činiti osnova . ,1,0
any of various beetles of the family ( Or subfamily ) Melolonthidae ,1,0
Ići na put iz zadovoljstvo . ,1,0
čin segregacija ili razdvajanje ,1,0
Čin koji se nešto podignuti . ,1,0
čin koji donositi sramota osoba koji ga izvršiti ,1,0
jedan od osoba koji činiti socijalan grupa ( posebno osoba koji jesam pristupiti neki organizacija ) . ,1,0
Čin oštećivanje nešto ili neki . ,1,0
jedan iz skup nameštaj koji činiti sob ili neki drugi prostor spreman za korišćenje . ,1,0
sistem princip i teorija sindikalni pokret ,1,0
voditi neki vrsta život ; živeti na određen način . ,1,0
stanje u koji jesam neki u savez . ,1,0
bogat krem sa želatin ,1,0
koji slediti prihvaćen običaj i pristojnost . ,1,0
finansijski institucija koji finansirati svoj investicioni aktivnost od prodaja hartija od vrednost ili osiguranje ,1,0
stanje zrelost ; pun razvoj . ,1,0
Čin klimanje glava . ,1,0
koji se trenutno koristiti ili jesam spreman za upotreba ,1,0
posebno zanimanje za koji jesam obučiti ,1,0
"tražiti nešto od neki u vida učtiv molba , kao pomoć ili zaštita ",1,0
izazvati iznenadan strah u koji ili ispuniti koji iznenadan panika ,1,0
matematički proces pronalaženje makimuma funkcijenction ,1,0
Čelične šipak koji se postavljati paralelno i po koji se kretati šinski vozilo . ,1,0
gledati sa čuđenje ; gledati glupav . ,1,0
švajcarski sir sa velik rupa ,1,0
priča o neki ko istraživati zločin i dolaziti do dokaz koji voditi do rešenje ,1,0
lekar koji jesam specijalizovati za bolest uši . ,1,0
"Čin briga o neki , lek ili medicinski tretman ( u medicina ) . ",1,0
uređaj pomoću koji nešto moći da se uloviti ( obično se misliti na životinja ) ,1,0
koji odgovarati ili operisati sa frekvencija širok pojas ,1,0
veoma lagati bezbojan element koji jesam jedan od @card@ gas u prirodan stanje ; najteže ga jesam pretvoriti u tečnost ; javljati se u neki prirodan gas u količina koji ekstrakcija činiti isplativ . ,1,0
stanje kada deo muskulatura treper umesto da izvoditi kontrakcija . ,1,0
govor mlad dete u razvoj ,1,0
izneti kao svoj mišljenje ili sud ; izjaviti ,1,0
esej ili članak u koji se davati kritički procena ( knjiga ili predstava ) ,1,0
akcija uvrtanje ,1,0
Čin vođenje . ,1,0
Dan posvetiti verski svetkovanje . ,1,0
"disinclined taj work Or exertion ; "" faineant kings under whose Rula the country languished "" ; "" an indolent hanger-on "" ; "" too lazy taj wash the dishes "" ; "" shiftless idle youth "" ; "" slothful employees "" ; "" the unemployed ar Not necessarily work-shy "" ",1,0
čin odbrana sebe ,1,0
elektromagnetni zračenje koji proizvoditi vizuelan osećaj ( u fizika ) . ,1,0
boginja plodnost i zaštitnica brak u drevan mitologija ; u rimski mitologija ona odgovarati Cerera ,1,0
Čin tečenje ; stalan napredak . ,1,0
"koji se ticati konkretan problem ili podatak a ne fundamntalnih princip , nasuprot teoretski ",1,0
životinja ( naročito sisar ) sa četiri ud sposoban za hodanje ,1,0
Nešto ( kao činjenica ili okolnost ) što pokazivati da jesam čin biti razuman ili potreban . ,1,0
biti pažljiv ili siguran da se nešto učiniti ; uveriti se u nešto ,1,0
"uklanjati nečistoća iz šta , povećavati koncentracija šta i odvajati putem proces destilacija ",1,0
Lini po koji nešto putovati ili se kretati . ,1,0
"faza u psihoseksualnom razvoj kada jesam izvor zadovoljstvo dete usta i dešavati se u prvi godina dan život . posledica preteran zadovoljenje jesam : zavisnost , pasivnost , optimizam , lakovernost , preteran sklonost ka jela , pića i brbljivost , preteran zavisnost , lako se razočarati , loše podnositi frustracija . posledica deprivacija ( uskraćenja zadovoljstvo ) jesam : depresivan i agresivan tendencija , sarkastičnost , pesimističnost , cinizam , težnja da se uništiti objekt svoj ljubav . ",1,0
napredak ka prvi baza koji činiti udarač koji primati četiri loptica ,1,0
serija vrednost promenljiv u sukcesivan vremenski trenutak ,1,0
mera za količina električni punjenje koji proticati kroz tačka u kola u jedinica vreme ,1,0
kreativan pisanje koji imati umetnički vrednost . ,1,0
"prolivati suza zbog tuga , bes ili bol . ",1,0
tvar koji sjedinjivati ili vezati ,1,0
prodaja po posebno smanjen cena . ,1,0
"Očistiti nečiji telo , reći pranje . ",0,1
računarski hardver koji uređivati posao koji računar trebati da obaviti u odgovarajući poredak ,1,0
radnja mesara ,1,0
aktivnost koji se kršiti moralan ili pravni norma ,1,0
"Bučno slaviti , uključiti se u bučan proslava . ",1,0
koji narušavati princip dobra i zlo . ,1,0
bojažljiv očekivanje ili predviđanje ,1,0
"mali ptica gnjurac koji nemati kožica na stopalo ; živiti u brz potok , a hrana tražiti na njihov dan . ",1,0
protestni akcija radnički i manjinski grupa u cilj ispunjenje zahtev ,1,0
engleski astronom ( sin Viljem H ) koji jesam nadograditi popis zvezda zvezda južne hemisfera i učiniti prvi korak u oblast fotografija ,1,0
poštovati običaj žaljenje posle smrt voljen osoba ,1,0
velik broj stvar ljudi posmatran zajedno . ,1,0
ljudski tvorevina koji jesam neki stvoriti . ,1,0
odnos između veličina . ,1,0
smanjiti intenzitet ili smiriti se . ,1,0
neki ko verovati u postojanje stvarnost izva ljudski poimanje ,1,0
tražiti uz pomoć neki natprirodan znak ,1,0
slikar koji moći da postignuti specijalan efekt pomoću boja . ,1,0
znak na artikl koji se potvrđivati njegov poreklo i verodostojnost ,1,0
notacija za zapis matematički izraz koji koristiti zagrada i pravilo prioritet operator ; operadori se nalaziti između operanada ,1,0
izjava usmeriti na buđenje poverenje . ,1,0
hemijski supstanca dobiti iz biljka koji jesam biološki aktivan ali nem nutritivni vrednost ,1,0
"sprot koji uključivati vežba koji trebati da pokazati snaga , ravnoteža i gipkost ",1,0
svojstvo koji činiti prostor između dva objekt ili tačka . ,1,0
vrednost koordinata na horizontalan osa . ,1,0
sintaksički nizak reč koji činiti deo neki velik syntaksičke celina ,1,0
specifikacija princip dizajniranje koji uključivati format podatak i procedura za kreiranje mrežni konfiguracija za obrada podatak ,1,0
Čin odbijanje zahtevati . ,1,0
"biti koji prostorni atribut , posebno onako kako jesam definisati skica . ",1,0
Događaj umiranje ili napuštanje život . ,1,0
ličan zastupanje koji imati zakonski status ,1,0
Psihološko svojstvo koji pobuđivati neki organizam na akcija prema željen cilj ; razlog za akcija ; onaj što davati namera i usmeravati ponašanje . ,1,0
ukloniti neželjen supstanca iz nešto . ,1,0
stanje povezanost u memorija ili mašta . ,1,0
stanje u koji jesam nešto povezati . ,1,0
velik plitak jezero u zapadni Mađarska ,1,0
napraviti mogućnost ili obezbediti mogućnost za nešto ; dozvoliti da se dostignuti ili izazvati da ostati . ,1,0
mitološki sistm Grk i Rimljanin zajedno ; velik deo rimski mitologija jesam pozajmiti od Grk ,1,0
promena u nizak stanje ( manje poštovati ) ,1,0
pričati koji govoriti o ljubav ,1,0
uzrokovati da se neki ili nešto kretati vožnja ,1,0
rešavanje problem koji uključivati broj i veličina ,1,0
osoba čiji jesam svetost izuzetan ,1,0
Učiniti slab . ,1,0
čin kombinovanje u integralan celina ,1,0
mera za dužina ,1,0
Obučeni radnik koji obavljati neki zanat ili rukotvorina . ,1,0
spoljašnji i malo kratak kost podlaktica kod čovek ,1,0
onaj koji jesam u stanje san ,1,0
proces koji se postajati otvoriti ili se otvarati . ,1,0
deo životinja koji odgovarati ljudski lice . ,1,0
"stanje ravnoteža masa , blok Zemljine kor , u odnos na potkorne fluidalne masa po koji pluta ",1,0
kvalitet onaj što jesam teško otkriti ili analizirati . ,1,0
( gramatika ) kategorija reč koji imati isti gramatički osobina ,1,0
govorni čin koji se nešto tražiti . ,1,0
proizvesti ili stvoriti proizvod stvoren ljudski ruka . ,1,0
Čovek koji voliti mnogo žena i sa ona imati kratak seksualan odnos . ,1,0
kretati se prema neki ili nešto . ,1,0
osoba koji jesam za nešto zadužiti . ,1,0
Frojdov termin za seksulanu potreba ili želja ,1,0
koji jesam određen geografija ,1,0
elektromagnetski zračenje koji moći da proizvesti fotohemijske reakcija ,1,0
preterano velik ,1,0
koji jesam otrovati ili proizvoditi otrov . ,1,0
biti koji strana lice ispod oči . ,1,0
"okrugao mesnat paprika , pogodan za punjenje . ",1,0
ceremonija u tok koji se nešto ( npr . zgrada ) posvećivati s neki cilj ili svrha ,1,0
Čin uzburkavanje nešto ; uzrok njegov okretanje ( obično snažno ) . ,1,0
kola između dva ili više lokacija s cilj transmisija i prijem podatak ,1,0
grupa ljudi okupljen zajedno radi zadovoljstvo . ,1,0
kuvati hrana i učiniti jesam jestiv izlaganje visok temperatura u vreo pećnica ,1,0
stanje zatočenosti ( obično za kratak vreme ) ,1,0
"vrsta redak ali težak psihički poremećaj koji se manifestovati tako što osoba redovno tražiti medicinski nega i pažnja za nepostojeći simptom koji sam izmišljati , a neobjašnjiv želja da se preuzeti uloga pacijent objašnjavati se kao pokušati begati od svakodnevan život i potreba da se biti negovan i zaštićen ",1,0
kognitivan proces koji jesam uključiti u prikupljanje i skladištenje znanje . ,1,0
umetnik koji jesam vešt u crtanje . ,1,0
rastresit mek materijal koji činiti velik deo zemljin površina . ,1,0
Smeštanje po redosled . ,1,0
iskreno moliti ili tražiti nešto ,1,0
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,0,1
veličina i opšti izgled publikacija ,1,0
produkt ljudski kreativnost ; umetnički delo zajedno . ,1,0
okolnost pod koji jesam osobina stanje relativno stalan čak i ako jesam samo stanje dinamično . ,1,0
"Pogrešna akcija koji se moći pripisati loš procena , neznanje ili nepažnja . ",1,0
praviti društvo neki ; izlaziti s neki . ,1,0
"Izvršiti čin , obično sa negativan konotacija . ",1,0
proizvesti ili stvoriti proizvod stvoren ljudski ruka . ,1,0
atribut viđenje . ,1,0
biti deo nešto ili biti svojstvo nešto . ,1,0
( biologija ) proučavanje osnovni princip naučni klasifikacija ,1,0
stanje sloboda ; moć delovanje ili govor ili mišljenje bez ograda . nametnut spolja ,1,0
ispoljavanje rastuženosti ,1,0
nauka koji izučavati ljudski društvo ,1,0
"označavati povlačenje libido , kada se već dostignut zreo stupanj razvoj vraćati na ranije cilj i objekt , odnosno , na već prevaziđen i nezreo oblik ponašanje i zadovoljavanje ; javljati se kao reakcija na frustracija ili na traumatski doživljaj ; do regresija dolaziti kada se na put zreo način zadovoljenje naići na prepreka , a osoba jesam u stanje da pronaći odgovarajući rešenje ",1,0
šta smanjiti ili ga se rešiti ; prestati ( kakav investicija ) posedovati ,1,0
čin savladavanje ili potčinjavanje neki ,1,0
velik evropski himera ,1,0
koji se koristiti u obred žrtvovanje ili jesam povezati sa on ,1,0
neki od nekoliko velik goveda sa grb koji imati velik glava i kratak rog . ,1,0
pravni osnov ( dokument ) koji se dokazivati prava svojina ( vlasništvo na imovina ) ,1,0
u neki klasifikacija se definisati kao razdeo carstvo Protista ; u drugi jesam definisati kao biljni razdeo Pyrrophyta ,1,0
grana biologija koji proučavati gljiva i bolest koji onaj izazivati ,1,0
koji jesam srazmerno velik težina . ,1,0
stanje podložnost povrediti ili ozlediti . ,1,0
stvoriti nešto ponovo . ,1,0
postepeno poboljšanje ili rast ili razvoj ,1,0
Razni predmet potreban za određenu operacija ili sport itd . ,1,0
koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ,0,1
mali količina tečnost ,1,0
dodeliti na neki položaj . ,1,0
"proširen značenje , naročito u psihološki slislu , ogledati se u jačina strast ili entuzijazam ",0,1
Osećanje velik žalost povezati sa gubitak ili lišavanje . ,1,0
proizvoditi ili distribuirati ilegalno . ,1,0
čin koji zanemarivati kakav raniji dogovor ili čiji prava ,1,0
snabdevanje puštanje u promet ( obično u neki količina ) ,1,0
"stabilan tok , prirodno prouzrokovati ",1,0
Gas koji izazivati suzenje oči ali ona ne oštećivati ; koristiti se u borba protiv semonstranata . ,1,0
osobina stečen tokom čiji formativan godina ,1,0
čin odstranjivanje sadržaj iz nešto ,1,0
bolest koji karakterisati neki zapaljenski proces ,1,0
prava ili kriv linija bez debljina ili širina ; trag tačka koji se kretati . ,1,0
pravni dokument u koji se izlagati čovekov želja u pogled raspodela njegov svojina kada umreti ,1,0
kretati se unazad i od šta se udaljavati ,1,0
izbaciti velik deo rukopis ,1,0
verovanje plemenski društvo ,1,0
iz budan stanje preći u stanje spavanje ,1,0
osoba koji se udruživati sa drugi u neki radnja ,1,0
javan zgrada za kockanje i zabava ,1,0
osobina koji jesam u veza sa funkcionisanje telo . ,1,0
organizacija podatak u sklad sa specifikacija slaganje ( obično za računarski obrada ) ,1,0
kretati se sa ili kao sa stalno alternirajućim pokret ,1,0
Dan posvetiti neki poseban namena . ,1,0
rečlacija između izabran vrednost od x i posmatran vrednost od y ( iz koji se moći predvideti verovatan vrednost od y za svaki vrednost x ) ,1,0
ime koji jesam uzeti na privremen korišćenje ,1,0
velik plantigrade mesožder ili svaštojed sa dug krzno i snažan kandža . ,1,0
čin odvajanje ili povlačenje ,1,0
formalno opovrgnuti ( navoditi suprotan strana ) u sudski postupak ,1,0
Oštećenje normalan fiziološki funkcija koji pogađati deo ili ceo organizam . ,1,0
dodavanje informacija ili detalj ,1,0
računar koji predstavljati informacija pomoću promenljiv veličina ( e.g. pozicija ili napon ) ,1,0
supstanca koji jesam u fluidan stanje na sobni temperatura i pritisak . ,1,0
na nizak nivo po rang ili značaj ,1,0
kompleks prteina koji kombinovati amino-kiseline s drugi supstanca ,1,0
osoba koji se odmarati ,1,0
"( filozofija ) filozofski škola @ord@ vek koji pretpostavljati da jesam ljudi potpuno slobodan i , shodno taj , odgovoran za onaj što učiniti od sebe ",1,0
osoba koji posedovati mnogo materijalan dobro i novac ,1,0
Sloboda od sumnja ; vera u sebe i svoj sposobnost . ,1,0
osoba koji sejati . ,1,0
stanje krajnje sramotiti . ,1,0
Čin promena količina ili veličina nešto . ,1,0
strah koji osećati osoba koji trebati da nastupiti pred publika ,1,0
primeniti pritisak ili sila na nešto . ,1,0
Mišić koji proizvoditi ili pomagati u uvrtanje . ,1,0
Pregrada koji moći da pokretati da biti obezbediti prolaz . ,1,0
transuranski element koji nemati u priroda ,1,0
uništenje moralan osnova za doktrina ili politika ,1,0
geološki svojstvo koji jesam ostatak ranije postojeći formacija nakon nestanak drugi deo ,1,0
"karakteristika sistema čiji izlazni veličina ne zavisiti samo od ulazni veličina , već i od istorija sistema ; posebno , pojava pri koji namagnetisanost feromagnetni telo ne zavisiti samo od aktuelan vrednost magnetan polje , već i od prthodnih magnetan stanje ",1,0
"degeneracija ( propadanje ) pojedini struktura kičmeni stub , najčešće intervertebralnih ( međupršljenskih ) diskusa , veza ( ligament ) i zglob ; osnovni klinički pokazatelj cervikalni spondiloza jesam bol u vrat , radikulopatija ( oštećenje nervni koren ) i mijelopatija ( oštećenje kičmeni moždina ) ",1,0
"koji privremeno jesam aktivan , o vulkan ",1,0
umetnik koji jesam privržen ekspresionizam . ,1,0
zaštitnik zakon ,1,0
jestiv i vredan gljiva ; imati ispupčen klobuk koji jesam pomalo lepljiv kad jesam svež i vlažan ala ubrzo se sušiti i debeo ispupčen drška . ,1,0
spolja vidljiv hrskavičav struktura spoljašnji uvo ,1,0
vrednost ispod koji dolaziti @card@ % sav slučaj ,1,0
metar koji u taksi registrovati cena ( na osnova dužina vožnja ) ,1,0
"koristiti se za osećaj fizički toplota ; onaj koji imati povišen temperatura , ili temperatura višu od poželjan ",1,0
čin odlazak ,1,0
Čin odlaženje iz jedan mesto u drugi . ,1,0
ljudi koji imati isti socijalan ili ekonomski status . ,1,0
smanjenje u veličina organ usled bolest ili nekorišćenja . ,1,0
Učiniti dužiti razvlačenje ili rastezanje . ,1,0
velik prostorija koji se koristiti za ples ,1,0
ukrasiti ili namestiti pomoću nešto okačen ,1,0
Čin prenos nešto sa jedan mesto na drugi . ,1,0
ostati isti ; zadržati se u izvestan stanje . ,1,0
doktor koji jesam specijalizirati bolest krv . ,1,0
velik vojni flota ,1,0
čiji pretvaranje da jesam drugi osoba ,1,0
lišiti život ,1,0
pozitivno naelektrisati jon ,1,0
Čista nezaslađen čokolada koji se koristiti za kuvanje ( za pravljenje kolač ) . ,0,1
mali digitalan račnar zasnovati na mikroporcesorima konstrisan tako da moći da ga nositi samo jedan osoba ,1,0
napisati ili izgvoriti slovo koji zajedno činiti kakav konvencionalan prihvaćen sled ( reč ili deo reč ) ,1,0
statistički relacija između dva i više proemnljivih koji jesam takav da sistematski promena vrednost jedan variable jesam pratiti sistematski promena drugi ,1,0
upravljati ( kao mašinerija ) ,1,0
nakratko zatvoriti oči . ,1,0
Čin koji se nešto povećavati . ,1,0
postavljanje u svešteni čin ,1,0
vaga za merenje ( zavisiti od gravitacija ) ,1,0
potamniti i učiniti hrskav pod uticaj toplota . ,1,0
posedovanje materijalan dobro . ,1,0
"Pokušati otkriti nešto , ili utvrditi postojanje nešto . ",1,0
operacija koji upravljati štampanje ili prikaza informacija ,1,0
umreti u bitka ; za vojnik ,1,0
Čin isporučivanje ili raspodela nešto ( kao što jesam dobra ili pošta ) . ,1,0
pravni odnos koji postojati kada se jedan lice opravdano oslanjati na drugi ili kada se tražiti zaštita po biti koji osnova ,1,0
konačan presuda koji jesam okončati slučaj pred sud posle iscrpljen postupak po žalba ,1,0
misaon stav sa koji se nešto posmatrati . ,1,0
Spoljašnji ili vidljiv aspekt osoba ili stvar . ,1,0
teorijski raspodela sa konačan srednji vrednost i varijansom ,1,0
Količina za koji nešto rasti . ,1,0
Prostorna lokacija koji definisati stvarno ili zamišljeno jednodimzenionalno širenje . ,1,0
"Čin prekidanje , privremen ili stalan . ",1,0
učiniti da neki nešto uraditi ,1,0
gubljenje sposobnost da normalno funkcionisati ,1,0
komercijalan ili industrijski preduzeće i ljudi koji ga činiti . ,1,0
"( krivičan prava ) pravnosnažan , osuđujući presuda u krivičan postupak sa dosuđen kazna ",1,0
Čin odluka da se uraditi nešto . ,1,0
obezbediti sklonište . ,1,0
relacija koji postojati kada se stvar odvijati istovremeno ,1,0
velik ( glavobolja ) . ,1,0
niz korak koji trebati učiniti ili cilj koji trebati postignuti . ,1,0
ime osoba po koji jesam nešto navodno nazvati ,1,0
sat koji biti osoba koji spavati u prethodno određenom trenutak ,1,0
vreme tokom ljudski razvoj pre pojava pisma . ,1,0
postupak klasifikovanje ili obezbeđivanje indeks da biti se neki stavak moći lakše pronaći ,1,0
osoba u srodstvo sa drugi . ,1,0
obezbediti smeštaj za neki . ,1,0
Čin poman razgledanje da biti se naći nešto ili neki . ,1,0
priča o vila ; pričati se da zabaviti deca ,1,0
osećanje intezivne nesreća ,1,0
odbaciti ( dokument ) kao nevažeci ,1,0
Zaračunati i prikupiti zaračunat novac . ,1,0
"normalan stanje napetost mišić , arterija , itd koji olakšavati odgovor na stimulans . Mog biti pojačan ( hipertonija ) ili oslabiti ( hipotonija ) . ",1,0
Društveno držanje . ,1,0
pomaknuti ili povući tako da pokriti ili otkriti nešto . ,1,0
"Čin naginjanje , saginjanje . ",1,0
Određeno okruženje u život . ,1,0
"smanjiti nivo zemljište , npr . erozija ",1,0
